guid,Country,Country Link,Capital,Capital Link,Flag,Map,Country:ru,Country Link:ru,Capital:ru,Capital Link:ru,Country:hr,tags
c*qJ>ll3SX,England,https://en.wikipedia.org/wiki/England,London,https://en.wikipedia.org/wiki/London,"<img src=""England (1).png"" />","<img src=""England.png"" />",А́нглия,https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B3%D0%BB%D0%B8%D1%8F,Ло́ндон,https://ru.wikipedia.org/wiki/%D0%9B%D0%BE%D0%BD%D0%B4%D0%BE%D0%BD,Engleska,Europe
f}~svquXRM,Scotland,https://en.wikipedia.org/wiki/Scotland,Edinburgh,https://en.wikipedia.org/wiki/Edinburgh,"<img src=""Scotland (1).png"" />","<img src=""Scotland.png"" />",Шотла́ндия,https://ru.wikipedia.org/wiki/%D0%A8%D0%BE%D1%82%D0%BB%D0%B0%D0%BD%D0%B4%D0%B8%D1%8F,Эдинбу́рг,https://ru.wikipedia.org/wiki/%D0%AD%D0%B4%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3,Škotska,Europe
aO.]y21i0z,Northern Ireland,https://en.wikipedia.org/wiki/Northern_Ireland,Belfast,https://en.wikipedia.org/wiki/Belfast,"<img src=""NorthernIreland.png"" />","<img src=""Northern-Ireland.png"" />",Се́верная Ирла́ндия,https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%B2%D0%B5%D1%80%D0%BD%D0%B0%D1%8F_%D0%98%D1%80%D0%BB%D0%B0%D0%BD%D0%B4%D0%B8%D1%8F,Бе́лфаст,https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D1%84%D0%B0%D1%81%D1%82,Sjeverna Irska,Europe
k)f8o(pIvy,France,https://en.wikipedia.org/wiki/France,Paris,https://en.wikipedia.org/wiki/Paris,"<img src=""France (1).png"" />","<img src=""France.png"" />",Фра́нция,https://ru.wikipedia.org/wiki/%D0%A4%D1%80%D0%B0%D0%BD%D1%86%D0%B8%D1%8F,Пари́ж,https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D1%80%D0%B8%D0%B6,Francuska,Europe
"qNhZ;4tb_,",Albania,https://en.wikipedia.org/wiki/Albania,Tirana,https://en.wikipedia.org/wiki/Tirana,"<img src=""Albania (1).png"" />","<img src=""Albania.png"" />",Алба́ния,https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B1%D0%B0%D0%BD%D0%B8%D1%8F,Тира́на,https://ru.wikipedia.org/wiki/%D0%A2%D0%B8%D1%80%D0%B0%D0%BD%D0%B0,Albanija,Europe
pMFk;B16rx,Andorra,https://en.wikipedia.org/wiki/Andorra,Andorra la Vella,https://en.wikipedia.org/wiki/Andorra_la_Vella,"<img src=""Andorra (1).png"" />","<img src=""Andorra.png"" />",Андо́рра,https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D0%BE%D1%80%D1%80%D0%B0,Андо́рра-ла-Велья,https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D0%BE%D1%80%D1%80%D0%B0-%D0%BB%D0%B0-%D0%92%D0%B5%D0%BB%D1%8C%D1%8F,Andora,Europe
a&nX]9[.l*,Armenia,https://en.wikipedia.org/wiki/Armenia,Yerevan,https://en.wikipedia.org/wiki/Yerevan,"<img src=""Armenia (1).png"" />","<img src=""Armenia.png"" />",Арме́ния,https://ru.wikipedia.org/wiki/%D0%90%D1%80%D0%BC%D0%B5%D0%BD%D0%B8%D1%8F,Ерева́н,https://ru.wikipedia.org/wiki/%D0%95%D1%80%D0%B5%D0%B2%D0%B0%D0%BD,Armenija,Europe
q|r?ZtDXbH,Austria,https://en.wikipedia.org/wiki/Austria,Vienna,https://en.wikipedia.org/wiki/Vienna,"<img src=""Austria (1).png"" />","<img src=""Austria.png"" />",А́встрия,https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D1%81%D1%82%D1%80%D0%B8%D1%8F,Ве́на,https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D0%BD%D0%B0,Austrija,Europe
q]szea$9F3,Azerbaijan ,https://en.wikipedia.org/wiki/Azerbaijan,Baku,https://en.wikipedia.org/wiki/Baku,"<img src=""Azerbaijan (1).png"" />","<img src=""Azerbaijan.png"" />",Азербайджа́н,https://ru.wikipedia.org/wiki/%D0%90%D0%B7%D0%B5%D1%80%D0%B1%D0%B0%D0%B9%D0%B4%D0%B6%D0%B0%D0%BD,Баку́,https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D0%BA%D1%83,Azerbajdžan,Europe
ozzPZXX9yP,Belarus,https://en.wikipedia.org/wiki/Belarus,Minsk,https://en.wikipedia.org/wiki/Minsk,"<img src=""Belarus (1).png"" />","<img src=""Belarus.png"" />",Белору́ссия,https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D0%BE%D1%80%D1%83%D1%81%D1%81%D0%B8%D1%8F,Минск,https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D0%BD%D1%81%D0%BA,Bjelorusija,Europe
